id;title;image_link;body;link
Научитесь выявлять и обходить многие из этих распространенных ловушек! Проведите рефакторинг унаследованного кошмара и превратите его в жизнеспособную модель данных!

Примеры SQL-кода основаны на версии MySQL 8.0, но в тексте также упоминаются другие популярные РСУБД. В примерах кода используется Python 3.9+ или Ruby 2.7+.;https://habr.com/ru/companies/piter/articles/819423/
8;Эйджизм в IT: в каком возрасте можно стать программистом;https://habrastorage.org/r/w1560/getpro/habr/upload_files/0ca/467/55a/0ca46755a936d299d092018f4712cb54.png;Мы убеждены, что освоить новую профессию можно в любом возрасте — и в 18, и в 40. А вот с поиском работы часто возникают проблемы. Несмотря на то, что дискриминация по возрасту запрещена законом, молодые кандидаты и специалисты 35+ часто получают отказы по скрытым причинам. Мы спросили у айтишников и рекрутеров, насколько распространен эйджизм в IT-компаниях, а еще собрали небольшую аналитику.Спойлер: эйджизм есть, но не все так плохо.;https://habr.com/ru/companies/skillfactory/articles/819455/
9;Комбинаторы синтаксического анализа на Kotlin;None;Существуют разные способы реализации синтаксических анализаторов для заданной грамматики. В статье рассматривается реализация комбинаторов синтаксического анализа на языке Kotlin для разбора контекстно-свободных и контекстно-зависимых языков.;https://habr.com/ru/articles/819459/
10;Земля в печатных платах | Слои, компоненты, секции, питание и переходы | Тренинг Рика Хартли;https://habrastorage.org/r/w1560/getpro/habr/upload_files/748/7cc/9d2/7487cc9d228006a2e7195b9acba4d50c.png;В этой статье представлен большой тренинг Рика Хартли по разводке земли в печатных платах. Перевёл и озвучил данное видео Dmitry Muravyev, за что ему огромное спасибо. Я всего лишь сделала конспект этого замечательного тренинга, чтоб люди могли ознакомиться с ним быстрее, чем смотреть двухчасовое видео, либо вернуться к каким-то отдельным темам, если позабылось. Категорически рекомендую ознакомиться с источником.Впервые люди начали использовать землю в качестве проводника около 300 лет назад для отведения молний от зданий. Молния сама естественным образом стремится разрядиться на землю. Так что установив железный стержень на крыше здания и проведя от него  большой толстый провод вниз по зданию к балке, вбитой в землю, люди отводили молнии от зданий. Это был первый опыт использования земли в качестве возвратного пути для протекания тока. Из чего скоро стало ясно, что землю можно использовать в качестве возвратного пути и для других целей.;https://habr.com/ru/articles/819441/
11;Как мониторинг связан с тестированием. Преимущества мониторинга для бизнеса: как экономить время и деньги;https://habrastorage.org/r/w780/getpro/habr/upload_files/b11/132/4b1/b111324b1433c8bbdd0cf7a4f0ecc5ba.jpg;Привет! Проходя множество собеседований, я не раз слышал вопросы по типу: «Что такое мониторинг?», «Как это связано с тестированием?», «Зачем это нужно?». Для меня, волей случая ставшего специалистом по мониторингу чуть больше года назад, это тривиальные вопросы, однако многие компании либо не знают, что это такое, либо не видят в этом пользы. На одном из последних интервью я услышал интересное мнение от QA Lead о том, что assert  должен быть в каждом тесте. Смелое заявление, подумал я. Поэтому, собственно, вы и читаете эту статью.Разберёмся, что такое мониторинг и с чем его едят. А главное, зачем он нужен вообще.;https://habr.com/ru/articles/819437/
12;NTP для мобильных разработчиков: Как точное время повысит качество ваших приложений;https://habrastorage.org/r/w780/getpro/habr/upload_files/e03/769/3a5/e037693a5daa0968368f9cb38bf74d8e.jpg;Все разработчики мобильных приложений сталкивались с проблемой точности времени. Часто для ее решения прибегают к различным методам, например, получают время с собственного сервера. Однако, существует гораздо более простой и удобный способ — использование NTP (Network Time Protocol). В этой статье мы разберемся, что такое NTP, как он может быть полезен для мобильных разработчиков, какие библиотеки существуют для работы с ним и в каких кейсах его использование особенно актуально.;https://habr.com/ru/articles/819435/
13;Система команд на основе переменных;https://habrastorage.org/r/w1560/getpro/habr/upload_files/320/319/f43/320319f433143562e9983578656b74ce.png;Я пытаюсь описать одну концепцию ИИ, сам ее пока понимаю плохо. Думаю суть этой концепции в том, чтобы создавать различные переменные в системе нейросетей, которые отвечают за различные действия, процессы. В этой статье я расскажу про идею, суть которой в том, что все знания программы, такие как команды или слова, рассматриваются как переменные, и немного про эту концепцию ИИ (в конце статьи). Чтобы лучше понять идею описанную в этой статье, нужно прочитать предыдущую статью про систему команд.;https://habr.com/ru/articles/819287/
14;Блеск и нищета нового Scrolling API в Spring Data;https://habrastorage.org/r/w780/getpro/habr/upload_files/2c8/6b5/2ae/2c86b52ae0545368e2f8659fe2aeeaa0.jpeg;В Spring Data 3.1 появилось новое API для итерирования по большому объему данных: Scrolling API. Давайте изучим его, посмотрим на практические применения с примерами кода и преимущества по сравнению со всем известным Pageable. А также разберём, чего Scrolling API пока не хватает, и можно ли его вообще брать в свои проекты. Если хотите выяснить, как с новым API в теории ускорить пагинацию больших данных, — заходите под кат.;https://habr.com/ru/companies/spring_aio/articles/819193/
15;О чём не молчит Windows. Погружение в Windows Registry Forensic;None;Всем привет, Хабровчане!Думаю ни у кого не возникает сомнений в важности грамотной работы специалистов ИБ и ИТ служб, учитывая события недавних дней с ТК СДЭК, а также другие крупные взломы/утечки, которых было немало за последние пару, тройку лет. Обеспечение грамотной работы включает в себя обычно комплекс мероприятий, да и в целом в работе служб ИБ есть множество направлений, где одним из интереснейших направлений, без которого, на мой взгляд, трудно обойтись, является компьютерная криминалистика (Forensic или форенсика).;https://habr.com/ru/articles/819409/
16;ML в OCR: зачем и как;https://habrastorage.org/r/w1560/getpro/habr/upload_files/00f/902/a1b/00f902a1b6de833274b3535b216a1144.png;Привет, меня зовут Георгий Гончаров, я инженер‑консультант OCR‑платформы SOICA, предназначенной для распознавания и обработки текстовых и графических данных. Поскольку это собственная разработка, то мы постоянно внедряем новые фичи. Недавно появилась еще одна — мы назвали ее ML‑локатор. В статье расскажу, почему и как мы реализовали эту функциональность и каких результатов удалось достичь.;https://habr.com/ru/companies/slsoft/articles/819391/
17;Укрощаем суммы с плавающей запятой;https://habrastorage.org/r/w1560/getpro/habr/upload_files/92a/475/476/92a4754767b3014d69ed02ba61685e33.png;Допустим, у нас есть массив чисел с плавающей запятой, и мы хотим их суммировать. Можно наивно подумать, что их достаточно просто сложить, например, на Rust.Однако это запросто может привести к произвольно большой накопленной погрешности. Давайте проверим:naive_sum(&vec![1.0;     1_000_000]) =  1000000.0naive_sum(&vec![1.0;    10_000_000]) = 10000000.0naive_sum(&vec![1.0;   100_000_000]) = 16777216.0naive_sum(&vec![1.0; 1_000_000_000]) = 16777216.0Ой-ёй… Что произошло? Проблема в том .что следующее 32-битное число с плавающей запятой после 16777216 — это 16777218. Так что при вычислении 16777216 + 1, значение округляется до ближайшего числа с плавающей запятой, имеющей чётную мантиссу, то есть снова до 16777216. Мы зашли в тупик.К счастью, есть более совершенные способы суммирования массива.;https://habr.com/ru/articles/819135/
18;7 раз отрежь, один релизни. А/Б тесты статических сайтов;https://habrastorage.org/r/w1560/getpro/habr/upload_files/eba/0d0/80d/eba0d080d826e15e242c7203e73387aa.png;Релиз начинается с идеи. Когда в потоке мозгового штурма приходит та самая идея, которая понравится всем пользователям и привлечёт новых клиентов. Идея презентуется команде менеджеров, маркетологов и безоговорочно поддерживается всеми.Прорабатывается ТЗ и задача отдаётся разработчикам. Затем новая версия тестируется и уходит конечным пользователям. На этом жизненный цикл идеи завершён. Теперь остаётся дождаться массива свежей аналитики и отпраздновать…Однако эта идея изначально была обречена. Она была поддержана лишь схожими с её автором людьми. Однако эти люди не самая подходящая ЦА, а возможно и вовсе её редкие исключения. И есть только один гарантированный способ проверить гипотезу - проверить её именно на аудитории бизнеса. Но, не на всей. Этот способ называется А/Б тестированием.И именно ему будет посвящена данная статья. От идеи до конкретной реализации тестирования на next.js (которую можно повторить и на других технологиях).;https://habr.com/ru/articles/819399/
19;Почему нельзя взять и просто выгрузить список городов из адресной системы?;https://habrastorage.org/r/w780/getpro/habr/upload_files/643/40f/318/64340f318685bdb72d2bb211f6466fb9.jpg;Под словом «город» люди представляют определенный тип населённого пункта. Но у адресных систем своё мнение на этот счёт. Поэтому когда к нам пришёл заказчик и попросил выгрузить список всех городов в РФ, мы сильно напряглись и попросили уточнить, что он имеет в виду. Если думаете, что наш вопрос — странный, значит, вы никогда не имели дела с адресными системами.;https://habr.com/ru/companies/hflabs/articles/819349/
20;Приглашаем на Cinimex TECH VRN meetup в Воронеже (офлайн/онлайн);https://habrastorage.org/r/w1560/getpro/habr/upload_files/470/558/b65/470558b65279dbe7da61bdeae141a95d.png;Привет, Хабр!Приглашаем в Воронеж на митап TECH VRN meetup — Встретимся с ИТ-комьюнити и в традиционной уютной атмосфере поговорим про то, как построить хранилище данных по методологии Data Vault 2.0, сравним инструменты для автоматизированного тестирования и рассмотрим критерии их выбора, а завершим наш ИТ-вечер темой многоагентного подхода.;https://habr.com/ru/companies/cinimex/articles/819387/
21;Встроенные коллекции Dart: как реализовать в коде основные структуры данных. Глава из книги;https://habrastorage.org/r/w780/getpro/habr/upload_files/681/438/ba6/681438ba6ddf11eb927dc2420c9e7678.jpg;Привет, Хабр! Меня зовут Станислав Чернышев, я автор книги «Основы Dart», телеграм-канала MADTeacher и доцент кафедры прикладной информатики в Санкт-Петербургском государственном университете аэрокосмического приборостроения. При поддержке компании Friflex буквально на днях вышла печатная версия моей книги. В ней есть раздел о нюансах изоляционной модели памяти в Dart, сквозной проект на пять глав (игра «Крестики-Нолики») и две дополнительные главы: «Алгоритмы, структуры данных на Dart и встроенные коллекции» и «Интероперабельность в Dart (Dart FFI)».В этой статье я делюсь разделом «Встроенные коллекции Dart». В книге он идет после классических структур данных и их реализации на Dart. Такой подход, по моему мнению, позволяет лучше понять принципы работы встроенных коллекций, их сильные и слабые стороны.;https://habr.com/ru/companies/friflex/articles/819503/
22;Внутренняя кухня Security Operations Center: рецепт контента;https://habrastorage.org/r/w780/getpro/habr/upload_files/4ef/30e/c8b/4ef30ec8b6df53b7fd3da7d91164f221.jpeg;Привет, Хабр! Меня зовут Кирилл Рупасов. Я руковожу группой инженеров SOC (Security Operations Center) в «К2 Кибербезопасность». Я не понаслышке знаю, как порой непросто создавать контент для Центра мониторинга кибербезопасности. Написать одно правило обычно несложно, а вот разработать их связанный комплекс — задача достаточно трудная, особенно для молодых команд.Под катом я собрал всю полезную информацию о грамотном создании контента: виды правил и их нюансы, workflow и возможные проблемы, сценарии обработки инцидентов. А также рассказал, как мы организовали процесс разработки и поддержки актуальности контента в своем коммерческом SOC.;https://habr.com/ru/companies/k2tech/articles/819495/
23;Кастомные HTML-теги;None;Автор этой статьи затронул по-моему мнению очень важную тему, но может как-то не очень подробно её раскрыл, написание комментария с ответом вылилось в этот пост.;https://habr.com/ru/articles/819465/
24;Мой опыт создания frontend и backend приложений для моего стартапа;https://habrastorage.org/r/w1560/getpro/habr/upload_files/46b/23d/74d/46b23d74dc22dcbb6393fbef5d38d00d.png;В прошлой части я рассказывал как появилась идея стартапа, как найти потребности пользователей, как спроектировать продуктовые требования. Также я рассказал как сделал проектирование  и разработку дизайна.В этой части я хочу рассказать как проектировал backend & frontend приложения.Напомню что мы разрабатываем приложения для мерчанта, которое интегрируется в административную панель через iframe. Наше приложение должно иметь доступ к товарам, для того чтобы мерчант мог настроить маркетинговые кампании. Также приложение должно автоматически совершать публикации в Instagram.;https://habr.com/ru/articles/819489/
25;Делаем нативное мобильное приложение с ИИ и бэкендом (Туториал);None;В этой статье мы рассмотрим тонкости создания Proof of Concept (PoC) мобильного приложения, построенного с помощью фреймворка SwiftUI и бэкенда с использованием FastAPI и OpenAI API. Дополнительно я продемонстрирую эффективные архитектурные паттерны для SwiftUI-приложений, в частности MVVMP в сочетании с принципами SOLID и Dependency Injection (DI). Для андроид код можно легко перевести на Kotlin с помощью Jetpack Compose Framework.;https://habr.com/ru/articles/816345/
26;Как я создавал аудиоплеер на python с FFmpeg;https://habrastorage.org/r/w1560/getpro/habr/upload_files/452/1d5/58b/4521d558b5f870b7f3a72855dc06a022.png;Всех приветствую. Сегодня хочу поделиться опытом создания своего первого проекта на Python. Мой проект —  это простой аудиоплеер, и я хочу рассказать, как я его создавал, с  какими сложностями столкнулся и что из этого вышло.;https://habr.com/ru/articles/819477/
27;Книга: «Антипаттерны SQL. Как избежать ловушек при работе с базами данных»;None;Привет, Хаброжители!

Язык SQL необходим для работы со структурированными данными. Программисты, прекрасно знающие свой любимый язык (Java, Python или Go), не могут разбираться во всем, и часто не являются экспертами в SQL. Это приводит к появлению антипаттернов — решений, которые на первый взгляд кажутся правильными, но со временем создают все больше проблем.

Научитесь выявлять и обходить многие из этих распространенных ловушек! Проведите рефакторинг унаследованного кошмара и превратите его в жизнеспособную модель данных!

Примеры SQL-кода основаны на версии MySQL 8.0, но в тексте также упоминаются другие популярные РСУБД. В примерах кода используется Python 3.9+ или Ruby 2.7+.;https://habr.com/ru/companies/piter/articles/819423/
28;Эйджизм в IT: в каком возрасте можно стать программистом;https://habrastorage.org/r/w1560/getpro/habr/upload_files/0ca/467/55a/0ca46755a936d299d092018f4712cb54.png;Мы убеждены, что освоить новую профессию можно в любом возрасте — и в 18, и в 40. А вот с поиском работы часто возникают проблемы. Несмотря на то, что дискриминация по возрасту запрещена законом, молодые кандидаты и специалисты 35+ часто получают отказы по скрытым причинам. Мы спросили у айтишников и рекрутеров, насколько распространен эйджизм в IT-компаниях, а еще собрали небольшую аналитику.Спойлер: эйджизм есть, но не все так плохо.;https://habr.com/ru/companies/skillfactory/articles/819455/
29;Комбинаторы синтаксического анализа на Kotlin;None;Существуют разные способы реализации синтаксических анализаторов для заданной грамматики. В статье рассматривается реализация комбинаторов синтаксического анализа на языке Kotlin для разбора контекстно-свободных и контекстно-зависимых языков.;https://habr.com/ru/articles/819459/
30;Земля в печатных платах | Слои, компоненты, секции, питание и переходы | Тренинг Рика Хартли;https://habrastorage.org/r/w1560/getpro/habr/upload_files/748/7cc/9d2/7487cc9d228006a2e7195b9acba4d50c.png;В этой статье представлен большой тренинг Рика Хартли по разводке земли в печатных платах. Перевёл и озвучил данное видео Dmitry Muravyev, за что ему огромное спасибо. Я всего лишь сделала конспект этого замечательного тренинга, чтоб люди могли ознакомиться с ним быстрее, чем смотреть двухчасовое видео, либо вернуться к каким-то отдельным темам, если позабылось. Категорически рекомендую ознакомиться с источником.Впервые люди начали использовать землю в качестве проводника около 300 лет назад для отведения молний от зданий. Молния сама естественным образом стремится разрядиться на землю. Так что установив железный стержень на крыше здания и проведя от него  большой толстый провод вниз по зданию к балке, вбитой в землю, люди отводили молнии от зданий. Это был первый опыт использования земли в качестве возвратного пути для протекания тока. Из чего скоро стало ясно, что землю можно использовать в качестве возвратного пути и для других целей.;https://habr.com/ru/articles/819441/
31;Как мониторинг связан с тестированием. Преимущества мониторинга для бизнеса: как экономить время и деньги;https://habrastorage.org/r/w780/getpro/habr/upload_files/b11/132/4b1/b111324b1433c8bbdd0cf7a4f0ecc5ba.jpg;Привет! Проходя множество собеседований, я не раз слышал вопросы по типу: «Что такое мониторинг?», «Как это связано с тестированием?», «Зачем это нужно?». Для меня, волей случая ставшего специалистом по мониторингу чуть больше года назад, это тривиальные вопросы, однако многие компании либо не знают, что это такое, либо не видят в этом пользы. На одном из последних интервью я услышал интересное мнение от QA Lead о том, что assert  должен быть в каждом тесте. Смелое заявление, подумал я. Поэтому, собственно, вы и читаете эту статью.Разберёмся, что такое мониторинг и с чем его едят. А главное, зачем он нужен вообще.;https://habr.com/ru/articles/819437/
32;NTP для мобильных разработчиков: Как точное время повысит качество ваших приложений;https://habrastorage.org/r/w780/getpro/habr/upload_files/e03/769/3a5/e037693a5daa0968368f9cb38bf74d8e.jpg;Все разработчики мобильных приложений сталкивались с проблемой точности времени. Часто для ее решения прибегают к различным методам, например, получают время с собственного сервера. Однако, существует гораздо более простой и удобный способ — использование NTP (Network Time Protocol). В этой статье мы разберемся, что такое NTP, как он может быть полезен для мобильных разработчиков, какие библиотеки существуют для работы с ним и в каких кейсах его использование особенно актуально.;https://habr.com/ru/articles/819435/
33;Система команд на основе переменных;https://habrastorage.org/r/w1560/getpro/habr/upload_files/320/319/f43/320319f433143562e9983578656b74ce.png;Я пытаюсь описать одну концепцию ИИ, сам ее пока понимаю плохо. Думаю суть этой концепции в том, чтобы создавать различные переменные в системе нейросетей, которые отвечают за различные действия, процессы. В этой статье я расскажу про идею, суть которой в том, что все знания программы, такие как команды или слова, рассматриваются как переменные, и немного про эту концепцию ИИ (в конце статьи). Чтобы лучше понять идею описанную в этой статье, нужно прочитать предыдущую статью про систему команд.;https://habr.com/ru/articles/819287/
34;Блеск и нищета нового Scrolling API в Spring Data;https://habrastorage.org/r/w780/getpro/habr/upload_files/2c8/6b5/2ae/2c86b52ae0545368e2f8659fe2aeeaa0.jpeg;В Spring Data 3.1 появилось новое API для итерирования по большому объему данных: Scrolling API. Давайте изучим его, посмотрим на практические применения с примерами кода и преимущества по сравнению со всем известным Pageable. А также разберём, чего Scrolling API пока не хватает, и можно ли его вообще брать в свои проекты. Если хотите выяснить, как с новым API в теории ускорить пагинацию больших данных, — заходите под кат.;https://habr.com/ru/companies/spring_aio/articles/819193/
35;О чём не молчит Windows. Погружение в Windows Registry Forensic;None;Всем привет, Хабровчане!Думаю ни у кого не возникает сомнений в важности грамотной работы специалистов ИБ и ИТ служб, учитывая события недавних дней с ТК СДЭК, а также другие крупные взломы/утечки, которых было немало за последние пару, тройку лет. Обеспечение грамотной работы включает в себя обычно комплекс мероприятий, да и в целом в работе служб ИБ есть множество направлений, где одним из интереснейших направлений, без которого, на мой взгляд, трудно обойтись, является компьютерная криминалистика (Forensic или форенсика).;https://habr.com/ru/articles/819409/
36;ML в OCR: зачем и как;https://habrastorage.org/r/w1560/getpro/habr/upload_files/00f/902/a1b/00f902a1b6de833274b3535b216a1144.png;Привет, меня зовут Георгий Гончаров, я инженер‑консультант OCR‑платформы SOICA, предназначенной для распознавания и обработки текстовых и графических данных. Поскольку это собственная разработка, то мы постоянно внедряем новые фичи. Недавно появилась еще одна — мы назвали ее ML‑локатор. В статье расскажу, почему и как мы реализовали эту функциональность и каких результатов удалось достичь.;https://habr.com/ru/companies/slsoft/articles/819391/
37;Укрощаем суммы с плавающей запятой;https://habrastorage.org/r/w1560/getpro/habr/upload_files/92a/475/476/92a4754767b3014d69ed02ba61685e33.png;Допустим, у нас есть массив чисел с плавающей запятой, и мы хотим их суммировать. Можно наивно подумать, что их достаточно просто сложить, например, на Rust.Однако это запросто может привести к произвольно большой накопленной погрешности. Давайте проверим:naive_sum(&vec![1.0;     1_000_000]) =  1000000.0naive_sum(&vec![1.0;    10_000_000]) = 10000000.0naive_sum(&vec![1.0;   100_000_000]) = 16777216.0naive_sum(&vec![1.0; 1_000_000_000]) = 16777216.0Ой-ёй… Что произошло? Проблема в том .что следующее 32-битное число с плавающей запятой после 16777216 — это 16777218. Так что при вычислении 16777216 + 1, значение округляется до ближайшего числа с плавающей запятой, имеющей чётную мантиссу, то есть снова до 16777216. Мы зашли в тупик.К счастью, есть более совершенные способы суммирования массива.;https://habr.com/ru/articles/819135/
38;7 раз отрежь, один релизни. А/Б тесты статических сайтов;https://habrastorage.org/r/w1560/getpro/habr/upload_files/eba/0d0/80d/eba0d080d826e15e242c7203e73387aa.png;Релиз начинается с идеи. Когда в потоке мозгового штурма приходит та самая идея, которая понравится всем пользователям и привлечёт новых клиентов. Идея презентуется команде менеджеров, маркетологов и безоговорочно поддерживается всеми.Прорабатывается ТЗ и задача отдаётся разработчикам. Затем новая версия тестируется и уходит конечным пользователям. На этом жизненный цикл идеи завершён. Теперь остаётся дождаться массива свежей аналитики и отпраздновать…Однако эта идея изначально была обречена. Она была поддержана лишь схожими с её автором людьми. Однако эти люди не самая подходящая ЦА, а возможно и вовсе её редкие исключения. И есть только один гарантированный способ проверить гипотезу - проверить её именно на аудитории бизнеса. Но, не на всей. Этот способ называется А/Б тестированием.И именно ему будет посвящена данная статья. От идеи до конкретной реализации тестирования на next.js (которую можно повторить и на других технологиях).;https://habr.com/ru/articles/819399/
